# Non-named entities
# Add two columns:
# Column 1: Classify each line as: persona (incl. dieties), place, time, animal, organization, event, object, abstract or error
# Column 2: Add the gender (M, F or PL), if this is not an error. For plural forms, gender is PL (e.g. ϩⲃⲏⲩⲉ is PL, although ϩⲱⲃ is M)
# For lines containing a real noun but bad segmentation, please fix the noun as well
# Example classifications:
# ⲡⲟⲗⲉⲙⲟⲥ	event	M
# ϩⲣⲟⲩ	abstract	M
# ϣⲉⲉⲣⲉ	persona	F
# ⲥⲏϥⲉ	object	F
# ⲥⲩⲛⲁⲅⲱⲅⲏ	organization	F
ϣϭⲟⲙ	abstract	F
ϣⲁϫⲉ	abstract	M
ϣⲁ	event	M
ϣⲃⲃⲓⲱ	abstract	M
ϣⲃⲉⲉⲣ	persona	PL
ϣⲉⲉⲣⲉ	persona	F
ϣⲉⲗⲉⲉⲧ	persona	F
ϣⲉ	object	M
ϣⲏⲙ	abstract	M
ϣⲏⲣⲉ	persona	M
ϣⲓⲡⲉ	persona	M
ϣⲓ	abstract	M
ϣⲕⲁⲕ	abstract	M
ϣⲙⲙⲟ	persona	M
ϣⲛⲏⲩ	object	PL
ϣⲟϫⲛⲉ	abstract	M
ϣⲟⲙⲧⲉ	abstract	F
ϣⲟⲛⲧⲉ	object	F
ϣⲟⲣⲡ	abstract	M
ϣⲟⲩϣⲟⲩ	abstract	M
ϣⲟⲩϣⲧ	object	M
ϣⲡⲏⲣⲉ	object	F
ϣⲥⲛⲉ	time	M
ϣⲧⲉⲕⲟ	place	M
ϣⲧⲏⲛ	object	F
ϣⲱⲙⲉ	place	F
ϣⲱⲛⲃ	abstract	M
ϣⲱⲥ	persona	M
ϣⲱⲱⲡⲉ	abstract	M
ϣⲱⲱⲧ	abstract	M
ϥⲱ	object	M
ϩⲁϩ	abstract	M/F
ϩⲁⲏ	abstract	F
ϩⲁⲓ	persona	M
ϩⲁⲗⲁⲥⲥⲁ	place	F
ϩⲁⲗⲁⲧⲉ	animal	PL
ϩⲁⲗⲩⲥⲓⲥ	object	F
ϩⲁⲗ	persona	M/F
ϩⲁⲡ	abstract	M
ϩⲁⲧ	object	M
ϩⲃⲏⲩⲉ	object	PL
ϩⲃⲟⲩⲣ	object	F
ϩⲉⲑⲛⲓⲕⲟⲥ	persona	M	
ϩⲉⲑⲛⲟⲥ	persona	PL
ϩⲉⲗⲗⲏⲛ	persona	PL
ϩⲉⲗⲡⲓⲥ	abstract	F
ϩⲉⲛⲉⲉⲧⲏ	place	F
ϩⲉ	abstract	F
ϩⲏⲃⲥ	object	M
ϩⲏⲅⲉⲙⲱⲛ	persona	M
ϩⲏⲏⲧⲉ	error
ϩⲏⲕⲉ	object	M
ϩⲏⲣⲱⲇⲓⲁⲛⲟⲥ	persona	M
ϩⲏⲧⲛ	error
ϩⲏⲧ	abstract	M
ϩⲏ	abstract	F
ϩⲓϩⲏ	error
ϩⲓⲏ	place	F
ϩⲓⲕⲱⲛ	abstract	F
ϩⲓⲙⲉ	persona	F
ϩⲓⲟⲙⲉ	persona	PL
ϩⲓⲥⲉ	abstract	M
ϩⲗⲗⲟ	persona	M
ϩⲗⲗⲱ	persona	F
ϩⲙϩⲁⲗ	persona	M/F
ϩⲙⲟⲧ	abstract	M
ϩⲙⲟⲩ	object	M
ϩⲛⲁⲁⲩ	object	M
ϩⲛⲁⲩ	error	
ϩⲛⲁ	error
ϩⲛⲟ	object	M
ϩⲟϥ	animal	M
ϩⲟⲉⲓⲛⲉ	abstract PL
ϩⲟⲉⲓⲧⲉ	object	M/F
ϩⲟⲓⲛⲉ	abstract	PL	# same as ϩⲟⲉⲓⲛⲉ
ϩⲟⲓⲧⲉ	object M/F	# same as ϩⲟⲉⲓⲧⲉ
ϩⲟⲙⲛⲧ	object	M
ϩⲟⲟⲩⲧ	persona	M
ϩⲟⲟⲩ	time	M
ϩⲟⲥⲟⲛ	time	M
ϩⲟⲧⲉ	abstract	F
ϩⲟⲩⲉ	abstract	M
ϩⲟⲩⲛ	abstract	M
ϩⲟⲩⲟ	abstract	M
ϩⲟ	object	M
ϩⲣϣⲓⲣⲉ	persona	M
ϩⲣⲁⲃⲃⲉⲓ	persona	M
ϩⲣⲉ	object	F
ϩⲣⲟⲟⲩ	abstract	F
ϩⲣⲱ	object	F
ϩⲧⲏ	error
ϩⲧⲟⲟⲩⲉ	time	F
ϩⲧⲟⲟⲩ	time	F	# same as ϩⲧⲟⲟⲩⲉ 	
ϩⲧⲟⲣ	abstract	M
